feature,status,family,rationale,evidence,source
bias,used,output balance,Extreme bias gives short canonical DNF/CNF constructions and conditions sensitivity bounds.,indirect bound,[7] empirical bias/complexity precedent
influence_0,used,influence,Khrapchenko-type bounds turn high sensitivity into De Morgan formula lower bounds.,direct lower-bound precedent,[1] Khrapchenko-type formula lower bounds
influence_1,used,influence,Khrapchenko-type bounds turn high sensitivity into De Morgan formula lower bounds.,direct lower-bound precedent,[1] Khrapchenko-type formula lower bounds
influence_2,used,influence,Khrapchenko-type bounds turn high sensitivity into De Morgan formula lower bounds.,direct lower-bound precedent,[1] Khrapchenko-type formula lower bounds
influence_3,used,influence,Khrapchenko-type bounds turn high sensitivity into De Morgan formula lower bounds.,direct lower-bound precedent,[1] Khrapchenko-type formula lower bounds
fourier_energy_degree_0,used,Fourier magnitude,Small De Morgan formulas have low-degree Fourier concentration.,direct lower-bound precedent,[2] Fourier concentration for formulas
fourier_energy_degree_1,used,Fourier magnitude,Small De Morgan formulas have low-degree Fourier concentration.,direct lower-bound precedent,[2] Fourier concentration for formulas
fourier_energy_degree_2,used,Fourier magnitude,Small De Morgan formulas have low-degree Fourier concentration.,direct lower-bound precedent,[2] Fourier concentration for formulas
fourier_energy_degree_3,used,Fourier magnitude,Small De Morgan formulas have low-degree Fourier concentration.,direct lower-bound precedent,[2] Fourier concentration for formulas
fourier_energy_degree_4,used,Fourier magnitude,Small De Morgan formulas have low-degree Fourier concentration.,direct lower-bound precedent,[2] Fourier concentration for formulas
algebraic_degree,used,ANF,"Binary gates can increase GF(2) degree only compositionally, giving a weak gate lower bound.",elementary lower bound,elementary gate-composition bound
input_symmetries,used,symmetry,"Invariance groups constrain circuit classes, although stabilizer cardinality alone is coarse.",indirect precedent,[5] invariance-group complexity theory
anf_terms_degree_0,new,ANF support,Counts algebraic support discarded by degree alone; gate composition acts explicitly on ANF polynomials.,compositional hypothesis,elementary GF(2) gate composition; present hypothesis
fourier_l1_degree_0,new,Fourier shape,L1 mass refines degree-wise L2 energy and measures spectral concentration within a degree.,Fourier precedent,[2] Fourier concentration; refinement proposed here
fourier_negative_degree_0,new,Fourier phase,Counts coefficient signs discarded by Fourier energy; controlled collisions show basis-specific phase sensitivity.,experimental/compositional,present controlled-intervention evidence
fourier_zero_degree_0,new,Fourier shape,"Measures spectral sparsity within a degree, which energy totals cannot recover.",Fourier heuristic,[2] Fourier concentration; refinement proposed here
anf_terms_degree_1,new,ANF support,Counts algebraic support discarded by degree alone; gate composition acts explicitly on ANF polynomials.,compositional hypothesis,elementary GF(2) gate composition; present hypothesis
fourier_l1_degree_1,new,Fourier shape,L1 mass refines degree-wise L2 energy and measures spectral concentration within a degree.,Fourier precedent,[2] Fourier concentration; refinement proposed here
fourier_negative_degree_1,new,Fourier phase,Counts coefficient signs discarded by Fourier energy; controlled collisions show basis-specific phase sensitivity.,experimental/compositional,present controlled-intervention evidence
fourier_zero_degree_1,new,Fourier shape,"Measures spectral sparsity within a degree, which energy totals cannot recover.",Fourier heuristic,[2] Fourier concentration; refinement proposed here
anf_terms_degree_2,new,ANF support,Counts algebraic support discarded by degree alone; gate composition acts explicitly on ANF polynomials.,compositional hypothesis,elementary GF(2) gate composition; present hypothesis
fourier_l1_degree_2,new,Fourier shape,L1 mass refines degree-wise L2 energy and measures spectral concentration within a degree.,Fourier precedent,[2] Fourier concentration; refinement proposed here
fourier_negative_degree_2,new,Fourier phase,Counts coefficient signs discarded by Fourier energy; controlled collisions show basis-specific phase sensitivity.,experimental/compositional,present controlled-intervention evidence
fourier_zero_degree_2,new,Fourier shape,"Measures spectral sparsity within a degree, which energy totals cannot recover.",Fourier heuristic,[2] Fourier concentration; refinement proposed here
anf_terms_degree_3,new,ANF support,Counts algebraic support discarded by degree alone; gate composition acts explicitly on ANF polynomials.,compositional hypothesis,elementary GF(2) gate composition; present hypothesis
